date,mark,source
1846-08-07,8.0,helsinki
1846-09-22,8.333,helsinki
1846-10-08,8.0,helsinki
1847-05-16,8.0,helsinki
1847-09-24,8.0,helsinki
1847-09-27,8.0,helsinki
1847-09-29,8.0,helsinki
1847-10-23,8.667,helsinki
1847-10-24,8.333,helsinki
1847-10-25,8.0,helsinki
1847-11-22,8.0,helsinki
1847-12-17,8.333,helsinki
1847-12-19,8.0,helsinki
1847-12-20,8.333,helsinki
1848-02-21,8.333,helsinki
1848-02-24,8.0,helsinki
1848-03-20,8.333,helsinki
1848-04-07,8.0,helsinki
1848-10-18,8.0,helsinki
1848-10-19,8.0,helsinki
1848-11-17,8.0,helsinki
1848-11-18,8.0,helsinki
1851-09-04,8.0,helsinki
1851-09-07,8.333,helsinki
1851-09-30,8.0,helsinki
1852-02-18,8.333,helsinki
1852-02-19,8.0,helsinki
1852-04-21,8.0,helsinki
1852-07-10,8.0,helsinki
1853-05-25,8.0,helsinki
1853-06-02,8.0,helsinki
1853-09-02,8.0,helsinki
1854-04-11,8.0,helsinki
1857-12-17,8.333,helsinki
1858-03-14,8.0,helsinki
1858-04-10,8.0,helsinki
1858-06-23,8.0,helsinki
1858-06-24,8.0,helsinki
1858-12-05,8.0,helsinki
1859-04-21,8.0,helsinki
1859-04-29,8.0,helsinki
1859-07-11,8.0,helsinki
1859-07-18,8.0,helsinki
1859-09-03,9.5,helsinki
1859-09-04,8.333,helsinki
1859-09-05,8.0,helsinki
1859-10-02,8.0,helsinki
1859-10-18,8.0,helsinki
1859-12-13,8.0,helsinki
1860-02-21,8.0,helsinki
1860-03-18,8.0,helsinki
1860-03-29,8.333,helsinki
1860-04-10,8.0,helsinki
1860-06-30,8.0,helsinki
1860-07-01,8.667,helsinki
1860-07-05,8.0,helsinki
1860-08-07,8.0,helsinki
1860-08-13,8.0,helsinki
1860-09-07,8.667,helsinki
1860-09-16,8.0,helsinki
1860-12-16,8.0,helsinki
1861-01-26,8.0,helsinki
1861-02-28,8.0,helsinki
1861-08-19,8.0,helsinki
1862-05-19,8.0,helsinki
1862-08-05,8.0,helsinki
1862-09-24,8.0,helsinki
1862-10-04,8.333,helsinki
1862-10-06,8.0,helsinki
1862-10-22,8.0,helsinki
1862-11-04,8.0,helsinki
1862-12-14,8.0,helsinki
1862-12-25,8.0,helsinki
1863-01-25,8.333,helsinki
1863-08-15,8.0,helsinki
1863-08-29,8.0,helsinki
1863-09-24,8.0,helsinki
1863-10-08,8.0,helsinki
1864-03-10,8.0,helsinki
1864-06-08,8.0,helsinki
1864-06-09,8.0,helsinki
1864-07-20,8.0,helsinki
1864-07-21,8.0,helsinki
1864-07-31,8.0,helsinki
1864-08-14,8.0,helsinki
1864-08-26,8.0,helsinki
1864-09-18,8.0,helsinki
1865-04-17,8.0,helsinki
1865-06-11,8.0,helsinki
1865-08-05,8.333,helsinki
1865-08-06,8.0,helsinki
1865-08-10,8.0,helsinki
1865-08-11,8.0,helsinki
1865-08-26,8.0,helsinki
1866-02-21,8.0,helsinki
1866-03-19,8.0,helsinki
1869-04-15,8.0,aa
1869-04-16,8.0,aa
1869-05-13,9.0,aa
1870-01-03,8.0,aa
1870-05-20,8.0,aa
1870-08-21,8.0,aa
1870-09-24,8.0,aa
1870-09-25,8.0,aa
1870-10-24,8.0,aa
1870-10-25,8.0,aa
1871-02-12,8.0,aa
1871-03-23,8.0,aa
1871-04-09,8.0,aa
1871-08-24,8.0,aa
1872-02-04,9.0,aa
1872-07-07,8.0,aa
1872-10-14,8.0,aa
1872-10-15,8.0,aa
1872-10-18,8.0,aa
1873-01-07,8.0,aa
1873-03-09,8.0,aa
1874-02-04,8.0,aa
1880-08-12,8.0,aa
1881-01-31,8.0,aa
1882-04-17,9.0,aa
1882-04-20,8.0,aa
1882-10-02,8.0,aa
1882-11-17,9.0,aa
1882-11-18,8.0,aa
1882-11-20,9.0,aa
1885-05-26,8.0,aa
1886-01-09,8.0,aa
1886-03-30,8.0,aa
1889-07-17,8.0,aa
1891-05-15,8.0,aa
1892-02-13,8.0,aa
1892-02-14,9.0,aa
1892-03-11,8.0,aa
1892-03-12,8.0,aa
1892-04-26,8.0,aa
1892-05-18,8.0,aa
1892-06-27,8.0,aa
1892-07-12,8.0,aa
1892-07-16,8.0,aa
1892-08-12,9.0,aa
1892-12-05,8.0,aa
1894-01-04,8.0,aa
1894-02-25,8.0,aa
1894-07-20,9.0,aa
1894-08-20,8.0,aa
1898-03-15,8.0,aa
1898-09-09,8.0,aa
1903-10-31,9.0,aa
