event_index,t_days,year,p_background,most_likely_parent
0,150.84554540636148,1932.4129925952261,1.0,-1
1,1940.8999087655916,1937.3138943429585,1.0,-1
2,1942.6826419911217,1937.3187752005233,0.08043595757007088,1
3,1944.7167210666407,1937.3243442055214,0.06923046155767536,2
4,2060.93778017055,1937.6425401236702,1.0,3
5,2208.3264536845336,1938.046068319465,1.0,4
6,2213.6537602588774,1938.0606536899627,0.40162936331215104,5
7,2216.6144182512153,1938.0687595297775,0.14124851397764285,6
8,2217.5050850214516,1938.0711980424953,0.04213069290795002,7
9,2297.4448033952226,1938.290061063368,1.0,8
10,2322.278778653266,1938.3580527820761,0.9999799167990564,9
11,2663.57776831588,1939.2924784895713,1.0,10
12,2670.703072146686,1939.3119865082729,0.6536175913854917,11
13,2842.7276294125154,1939.7829640777893,1.0,12
14,2844.7483326158995,1939.788496461645,0.09115355781521767,13
15,3005.3015607485545,1940.2280672436648,1.0,14
16,3006.86830956634,1940.2323567681487,0.07171713811000054,15
17,3010.0867624158122,1940.241168411816,0.12433574877429432,16
18,3011.699530451264,1940.2455839300515,0.06100415770041334,17
19,3012.063658131525,1940.2465808573074,0.025427998949429702,18
20,3015.3326833122146,1940.2555309604716,0.08534852555030445,19
21,3037.7812896173955,1940.316991894914,0.9998942479716482,20
22,3098.6470623260075,1940.4836332986338,0.9999999999999797,21
23,3347.0716894833754,1941.1637828596397,1.0,22
24,3473.7068899638416,1941.5104911429537,1.0,23
25,3503.1149556406067,1941.5910060387148,0.9999985518594666,24
26,3548.427626968381,1941.7150653715767,0.9999999998451723,25
27,3549.4865568271666,1941.717964563524,0.05454968702098046,26
28,3712.1267444533637,1942.1632491292357,1.0,27
29,4260.944022425572,1943.6658289457237,1.0,28
30,4475.8561041945695,1944.254226157959,1.0,29
31,4733.729540622844,1944.9602451488647,1.0,30
32,5151.060134635157,1946.1028340441756,1.0,31
33,5152.037948985773,1946.1055111539652,0.05219400140652358,32
34,5196.989027826143,1946.2285805005506,0.9999999997007563,33
35,5197.7015414396565,1946.2305312565084,0.045144035098094004,34
36,5200.5263132927885,1946.23826506035,0.08734110212733161,35
37,5226.920865078987,1946.3105294047336,0.9999891258404883,36
38,5227.823795258245,1946.3130014928356,0.0501048810803561,37
39,5320.701256127512,1946.5672861221835,1.0,38
40,5321.111151773454,1946.5684083553003,0.038210843302365426,39
41,5378.609443683464,1946.725830099065,0.9999999999997486,40
42,5379.049011568346,1946.7270335703445,0.03884271577168346,41
43,5540.559485574744,1947.169225148733,1.0,42
44,5585.980518362422,1947.293581159103,0.9999999998545231,43
45,5676.636263394692,1947.5417830619979,1.0,44
46,5712.360231715799,1947.6395899567851,0.9999999616384443,45
47,5918.753077830699,1948.2046627729794,1.0,46
48,6134.861226381954,1948.7963346375961,1.0,47
49,6135.743221227504,1948.7987494078782,0.0495351611236713,48
50,6234.099719999763,1949.0680348254614,1.0,49
51,6235.032346028556,1949.0705882163684,0.050923697728490924,50
52,6341.606488973242,1949.3623723175174,1.0,51
53,6342.7807405166695,1949.36558724303,0.05807165673109796,52
54,6497.132082996455,1949.788178187533,1.0,53
55,6625.102154699596,1950.1385411490749,1.0,54
56,6805.345194748877,1950.632019698149,1.0,55
57,6806.751764717162,1950.6358706768438,0.06582323532836652,56
58,7107.328201779445,1951.458804111648,1.0,57
59,7207.828030425474,1951.7339576466131,1.0,58
60,7208.362060332384,1951.7354197408142,0.040921719010298396,59
61,7240.204941148865,1951.822600797122,0.9999993800425443,60
62,7370.996153658837,1952.1806876212424,1.0,61
63,7416.654460537234,1952.3056932526688,0.9999999998730734,62
64,7452.2218895439555,1952.403071566171,0.9999999580260378,63
65,7486.710750247492,1952.4974969205955,0.9999999219684655,64
66,8821.947639346507,1956.153176288423,1.0,-1
67,8883.800344644409,1956.3225197663091,0.9999999999999885,66
68,8902.007959570908,1956.3723694991675,0.9990945249635678,67
69,9011.229668898586,1956.6714022420222,1.0,68
70,9017.487554392997,1956.6885353987489,0.5340234770443569,69
71,9152.538055405119,1957.0582835192474,1.0,70
72,9153.098875132535,1957.0598189599796,0.04153046934153062,71
73,9192.92703750192,1957.1688625256727,0.9999999937507983,72
74,9312.406933517323,1957.4959806530248,1.0,73
75,9314.09335544194,1957.5005978246186,0.07643452017484288,74
76,9377.980164356442,1957.6755103746925,0.9999999999999951,75
77,9378.166104520868,1957.676019451118,0.03375050088391078,76
78,9379.610974191215,1957.6799752886823,0.036551342727120316,77
79,9387.748097454361,1957.7022535180133,0.648807051961516,78
