date,k_max_helsinki,ak_helsinki,n_missing_k
1844-07-01,2.0,7.0,4
1844-07-02,3.0,5.0,0
1844-07-03,3.0,5.0,0
1844-07-04,3.0,6.0,0
1844-07-05,3.0,4.0,0
1844-07-06,2.0,3.0,0
1844-07-07,4.0,14.0,0
1844-07-08,5.0,13.0,0
1844-07-09,3.0,6.0,0
1844-07-10,3.0,8.0,0
1844-07-11,3.0,7.0,0
1844-07-12,3.0,6.0,0
1844-07-13,5.0,18.0,0
1844-07-14,3.0,4.0,0
1844-07-15,3.0,7.0,0
1844-07-16,3.0,5.0,0
1844-07-17,3.0,6.0,0
1844-07-18,4.0,10.0,0
1844-07-19,2.0,4.0,0
1844-07-20,2.0,1.0,0
1844-07-21,2.0,3.0,0
1844-07-22,2.0,4.0,0
1844-07-23,2.0,2.0,0
1844-07-24,2.0,3.0,0
1844-07-25,5.0,20.0,0
1844-07-26,4.0,15.0,0
1844-07-27,4.0,13.0,0
1844-07-28,4.0,13.0,0
1844-07-29,3.0,5.0,0
1844-07-30,2.0,4.0,0
1844-07-31,4.0,10.0,0
1844-08-01,5.0,18.0,0
1844-08-02,5.0,15.0,0
1844-08-03,4.0,14.0,0
1844-08-04,4.0,18.0,0
1844-08-05,4.0,14.0,0
1844-08-06,3.0,8.0,0
1844-08-07,2.0,2.0,0
1844-08-08,3.0,5.0,0
1844-08-09,3.0,7.0,0
1844-08-10,4.0,11.0,0
1844-08-11,4.0,12.0,0
1844-08-12,2.0,4.0,0
1844-08-13,3.0,5.0,0
1844-08-14,2.0,2.0,0
1844-08-15,3.0,5.0,0
1844-08-16,5.0,12.0,0
1844-08-17,3.0,10.0,0
1844-08-18,3.0,7.0,0
1844-08-19,3.0,5.0,0
1844-08-20,2.0,4.0,0
1844-08-21,2.0,2.0,0
1844-08-22,4.0,12.0,0
1844-08-23,4.0,16.0,0
1844-08-24,4.0,12.0,0
1844-08-25,3.0,7.0,0
1844-08-26,3.0,7.0,0
1844-08-27,3.0,5.0,0
1844-08-28,3.0,6.0,0
1844-08-29,3.0,6.0,0
1844-08-30,4.0,10.0,0
1844-08-31,5.0,22.0,0
1844-09-01,5.0,13.0,0
1844-09-02,2.0,3.0,0
1844-09-03,2.0,4.0,0
1844-09-04,3.0,8.0,0
1844-09-05,1.0,1.0,0
1844-09-06,2.0,3.0,0
1844-09-07,3.0,8.0,0
1844-09-08,5.0,18.0,0
1844-09-09,4.0,11.0,0
1844-09-10,3.0,5.0,0
1844-09-11,2.0,3.0,0
1844-09-12,3.0,5.0,0
1844-09-13,3.0,5.0,0
1844-09-14,3.0,5.0,0
1844-09-15,4.0,11.0,0
1844-09-16,3.0,4.0,0
1844-09-17,3.0,9.0,0
1844-09-18,3.0,9.0,0
1844-09-19,3.0,5.0,0
1844-09-20,5.0,26.0,0
1844-09-21,3.0,10.0,0
1844-09-22,4.0,13.0,0
1844-09-23,4.0,9.0,0
1844-09-24,3.0,10.0,0
1844-09-25,4.0,11.0,0
1844-09-26,6.0,37.0,0
1844-09-27,5.0,17.0,0
1844-09-28,4.0,14.0,0
1844-09-29,6.0,18.0,0
1844-09-30,6.0,25.0,0
1844-10-01,6.0,55.0,0
1844-10-02,4.0,10.0,0
1844-10-03,3.0,8.0,0
1844-10-04,4.0,10.0,0
1844-10-05,4.0,9.0,0
1844-10-06,3.0,7.0,0
1844-10-07,2.0,4.0,0
1844-10-08,3.0,6.0,0
1844-10-09,2.0,2.0,0
1844-10-10,0.0,0.0,0
1844-10-11,2.0,3.0,0
1844-10-12,2.0,4.0,0
1844-10-13,2.0,2.0,0
1844-10-14,3.0,4.0,0
1844-10-15,3.0,4.0,0
1844-10-16,2.0,2.0,0
1844-10-17,2.0,4.0,0
1844-10-18,3.0,4.0,0
1844-10-19,2.0,3.0,0
1844-10-20,5.0,15.0,0
1844-10-21,6.0,33.0,0
1844-10-22,3.0,14.0,0
1844-10-23,3.0,8.0,0
1844-10-24,3.0,7.0,0
1844-10-25,4.0,17.0,0
1844-10-26,6.0,35.0,0
1844-10-27,5.0,18.0,0
1844-10-28,4.0,12.0,0
1844-10-29,3.0,9.0,0
1844-10-30,4.0,11.0,0
1844-10-31,3.0,6.0,0
1844-11-01,4.0,5.0,0
1844-11-02,3.0,9.0,0
1844-11-03,4.0,11.0,0
1844-11-04,4.0,11.0,0
1844-11-05,4.0,6.0,0
1844-11-06,3.0,4.0,0
1844-11-07,0.0,0.0,0
1844-11-08,2.0,2.0,0
1844-11-09,3.0,4.0,0
1844-11-10,3.0,5.0,0
1844-11-11,4.0,8.0,0
1844-11-12,4.0,9.0,0
1844-11-13,4.0,6.0,0
1844-11-14,3.0,6.0,0
1844-11-15,2.0,3.0,0
1844-11-16,7.0,41.0,0
1844-11-17,5.0,34.0,0
1844-11-18,5.0,14.0,0
1844-11-19,4.0,10.0,0
1844-11-20,4.0,8.0,0
1844-11-21,2.0,2.0,0
1844-11-22,7.0,33.0,0
1844-11-23,6.0,30.0,0
1844-11-24,3.0,6.0,0
1844-11-25,3.0,7.0,0
1844-11-26,2.0,1.0,0
1844-11-27,3.0,3.0,0
1844-11-28,3.0,10.0,0
1844-11-29,4.0,9.0,0
