,mean,sd,eti95_lb,eti95_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
mu0_c[0],0.00403,0.00076,0.0027,0.0057,10764,5230,1.00,7.3e-06,5.4e-06
mu0_c[1],0.0095,0.00149,0.0068,0.013,4608,4547,1.00,2.2e-05,1.6e-05
mu0_c[2],0.0035,0.00072,0.0022,0.0051,11772,4853,1.00,6.6e-06,5e-06
mu0_c[3],0.00338,0.00083,0.0019,0.0052,10906,4819,1.00,8e-06,6.3e-06
mu0_c[4],0.00413,0.00088,0.0026,0.0061,12731,4725,1.00,7.7e-06,6.1e-06
mu0_c[5],0.00362,0.00088,0.0021,0.0055,11378,4775,1.00,8.5e-06,6.7e-06
mu0_c[6],0.00292,0.00073,0.0016,0.0045,10109,5046,1.00,7.4e-06,5.7e-06
mu0_c[7],0.00446,0.00098,0.0028,0.0066,9195,3995,1.00,1e-05,8e-06
mu0_c[8],0.00387,0.00079,0.0025,0.0055,10684,4656,1.00,7.7e-06,5.7e-06
mu0_c[9],0.00453,0.00084,0.0031,0.0063,8699,4995,1.00,8.9e-06,6.9e-06
mu0_c[10],0.00501,0.00088,0.0035,0.0069,9416,5463,1.00,9.2e-06,6.8e-06
mu0_c[11],0.00455,0.00089,0.003,0.0064,10428,4511,1.00,8.7e-06,6.7e-06
mu0_c[12],0.00374,0.00074,0.0024,0.0054,10728,4954,1.00,7.1e-06,5.3e-06
mu0_c[13],0.00362,0.00075,0.0023,0.0053,10861,5077,1.00,7.2e-06,5.6e-06
mu0_c[14],0.00433,0.00081,0.0029,0.0061,11680,3980,1.00,7.6e-06,5.9e-06
mu0_c[15],0.00233,0.00072,0.0011,0.0039,7351,4718,1.00,8.5e-06,6.5e-06
mu0_c[16],0.00317,0.00085,0.0017,0.0051,10760,4969,1.00,8.5e-06,7.1e-06
alpha_c[0],0.1004,0.0263,0.06,0.16,9448,5661,1.00,0.00028,0.00032
alpha_c[1],0.0905,0.021,0.053,0.14,9423,5374,1.00,0.00022,0.00017
alpha_c[2],0.0951,0.0239,0.056,0.15,8882,5226,1.00,0.00026,0.00031
alpha_c[3],0.0946,0.024,0.055,0.15,9806,5258,1.00,0.00025,0.00026
alpha_c[4],0.0924,0.023,0.052,0.14,9340,4776,1.00,0.00024,0.00021
alpha_c[5],0.0938,0.0241,0.054,0.15,9347,5054,1.00,0.00026,0.00031
alpha_c[6],0.098,0.0259,0.057,0.16,9535,4916,1.00,0.00028,0.00036
alpha_c[7],0.0942,0.0236,0.054,0.15,10113,4835,1.00,0.00024,0.00023
alpha_c[8],0.0985,0.025,0.06,0.16,9150,5233,1.00,0.00027,0.00032
alpha_c[9],0.0968,0.0241,0.058,0.15,8773,5043,1.00,0.00027,0.00028
alpha_c[10],0.097,0.0236,0.059,0.15,9399,5281,1.00,0.00025,0.00025
alpha_c[11],0.0928,0.0229,0.054,0.14,9296,5243,1.00,0.00024,0.00022
alpha_c[12],0.0925,0.0226,0.053,0.14,9254,5034,1.00,0.00023,0.00022
alpha_c[13],0.096,0.0242,0.057,0.15,8589,5128,1.00,0.00027,0.0003
alpha_c[14],0.0927,0.0225,0.054,0.14,9167,5176,1.00,0.00024,0.00022
alpha_c[15],0.0937,0.026,0.051,0.15,9308,5305,1.00,0.00029,0.0006
alpha_c[16],0.0956,0.0247,0.055,0.15,9960,4971,1.00,0.00026,0.00028
beta_c[0],0.572,0.106,0.37,0.78,9416,5024,1.00,0.0011,0.00092
beta_c[1],0.611,0.119,0.41,0.88,10625,4948,1.00,0.0012,0.0012
beta_c[2],0.611,0.115,0.42,0.86,10002,5019,1.00,0.0012,0.0014
beta_c[3],0.598,0.11,0.41,0.85,10606,4781,1.00,0.0011,0.0011
beta_c[4],0.621,0.126,0.42,0.91,10302,5302,1.00,0.0013,0.0021
beta_c[5],0.625,0.133,0.41,0.93,9970,4815,1.00,0.0015,0.0022
beta_c[6],0.608,0.117,0.4,0.87,11392,5130,1.00,0.0011,0.0013
beta_c[7],0.618,0.133,0.4,0.92,9782,4826,1.00,0.0014,0.0021
beta_c[8],0.554,0.103,0.35,0.76,8820,5265,1.00,0.0011,0.00082
beta_c[9],0.625,0.112,0.44,0.88,9874,5346,1.00,0.0011,0.0012
beta_c[10],0.605,0.106,0.42,0.84,10130,5097,1.00,0.0011,0.00095
beta_c[11],0.614,0.116,0.42,0.87,10284,5090,1.00,0.0012,0.0014
beta_c[12],0.623,0.127,0.43,0.92,10780,4950,1.00,0.0013,0.0017
beta_c[13],0.598,0.112,0.4,0.84,10651,5412,1.00,0.0011,0.001
beta_c[14],0.617,0.118,0.42,0.89,9951,5095,1.00,0.0013,0.0014
beta_c[15],0.619,0.136,0.41,0.92,8910,5460,1.00,0.0016,0.0029
beta_c[16],0.618,0.124,0.42,0.89,9864,5018,1.00,0.0013,0.002
kappa_c[0],1.145,0.43,0.37,2.1,9199,5160,1.00,0.0047,0.0051
kappa_c[1],1.125,0.385,0.35,1.9,9542,5567,1.00,0.004,0.0034
kappa_c[2],0.97,0.45,-0.065,1.7,9505,5416,1.00,0.0048,0.006
kappa_c[3],1.128,0.398,0.35,1.9,8365,5171,1.00,0.0044,0.0039
kappa_c[4],0.944,0.44,-0.064,1.7,9220,5483,1.00,0.0047,0.0052
kappa_c[5],0.972,0.44,-0.042,1.7,9317,5554,1.00,0.0047,0.0056
kappa_c[6],1.107,0.41,0.29,1.9,9260,4719,1.00,0.0044,0.0056
kappa_c[7],1.005,0.44,0.08,1.8,10199,5109,1.00,0.0045,0.0055
kappa_c[8],1.048,0.364,0.29,1.7,9586,5146,1.00,0.0037,0.0032
kappa_c[9],1.099,0.384,0.31,1.9,9557,5447,1.00,0.004,0.0033
kappa_c[10],1.035,0.365,0.27,1.7,10840,5431,1.00,0.0035,0.003
kappa_c[11],1.057,0.379,0.27,1.8,10579,4890,1.00,0.0037,0.0031
kappa_c[12],1.032,0.391,0.21,1.7,10571,4987,1.00,0.0039,0.0038
kappa_c[13],1.081,0.381,0.33,1.8,9068,5397,1.00,0.0041,0.0037
kappa_c[14],0.99,0.402,0.097,1.7,9868,5622,1.00,0.0042,0.0038
kappa_c[15],1.033,0.44,0.093,1.9,9404,4655,1.00,0.0047,0.0055
kappa_c[16],1.088,0.413,0.25,1.9,9860,4760,1.00,0.0042,0.0039
